   Temperature           BIR            BW1               BW2             BUV             BVIS1             BVIS2
   215.000000       18.9481907       9.24914144E-03   19.6104717       0.00000000       0.00000000       1.69171655E-30
   216.000000       19.2014236       9.95309930E-03   20.0790977       0.00000000       0.00000000       2.50382178E-30
   217.000000       19.4572067       1.07036214E-02   20.5552349       0.00000000       0.00000000       3.69249408E-30
   218.000000       19.7155800       1.15033025E-02   21.0389309       0.00000000       0.00000000       5.42623013E-30
   219.000000       19.9765835       1.23548498E-02   21.5302372       0.00000000       0.00000000       7.94620263E-30
   220.000000       20.2402630       1.32610910E-02   22.0292034       0.00000000       0.00000000       1.15964410E-29
   221.000000       20.5066605       1.42249754E-02   22.5358772       0.00000000       0.00000000       1.68660637E-29
   222.000000       20.7758198       1.52495792E-02   23.0503063       0.00000000       0.00000000       2.44481850E-29
   223.000000       21.0477848       1.63381062E-02   23.5725403       0.00000000       0.00000000       3.53218080E-29
   224.000000       21.3226051       1.74938999E-02   24.1026249       0.00000000       0.00000000       5.08653205E-29
   225.000000       21.6003227       1.87204331E-02   24.6406078       0.00000000       1.40129846E-45   7.30133283E-29
   226.000000       21.8809891       2.00213287E-02   25.1865330       0.00000000       1.40129846E-45   1.04472624E-28
   227.000000       22.1646500       2.14003492E-02   25.7404480       0.00000000       2.80259693E-45   1.49018781E-28
   228.000000       22.4513550       2.28614099E-02   26.3023987       0.00000000       5.60519386E-45   2.11902248E-28
   229.000000       22.7411575       2.44085807E-02   26.8724270       0.00000000       8.40779079E-45   3.00402677E-28
   230.000000       23.0341034       2.60460880E-02   27.4505768       0.00000000       1.54142831E-44   4.24583341E-28
   231.000000       23.3302498       2.77783200E-02   28.0368919       0.00000000       2.52233724E-44   5.98315030E-28
   232.000000       23.6296444       2.96098311E-02   28.6314163       0.00000000       4.06376555E-44   8.40662065E-28
   233.000000       23.9323444       3.15453485E-02   29.2341900       0.00000000       6.86636248E-44   1.17775219E-27
   234.000000       24.2384014       3.35897692E-02   29.8452568       0.00000000       1.12103877E-43   1.64529364E-27
   235.000000       24.5478725       3.57481800E-02   30.4646549       0.00000000       1.83570099E-43   2.29195351E-27
   236.000000       24.8608131       3.80258411E-02   31.0924263       0.00000000       2.99877871E-43   3.18387940E-27
   237.000000       25.1772804       4.04282026E-02   31.7286110       0.00000000       4.89053164E-43   4.41073703E-27
   238.000000       25.4973297       4.29609120E-02   32.3732491       0.00000000       7.91733632E-43   6.09374789E-27
   239.000000       25.8210220       4.56298068E-02   33.0263748       0.00000000       1.27798420E-42   8.39636662E-27
   240.000000       26.1484165       4.84409295E-02   33.6880302       0.00000000       2.05290225E-42   1.15384227E-26
   241.000000       26.4795723       5.14005348E-02   34.3582535       0.00000000       3.28744620E-42   1.58148076E-26
   242.000000       26.8145485       5.45150712E-02   35.0370789       0.00000000       5.24365885E-42   2.16201105E-26
   243.000000       27.1534100       5.77912219E-02   35.7245407       0.00000000       8.33071937E-42   2.94810016E-26
   244.000000       27.4962177       6.12358749E-02   36.4206810       0.00000000       1.31848173E-41   4.00987212E-26
   245.000000       27.8430347       6.48561493E-02   37.1255341       0.00000000       2.07924666E-41   5.44046675E-26
   246.000000       28.1939240       6.86593875E-02   37.8391266       0.00000000       3.26670698E-41   7.36329733E-26
   247.000000       28.5489540       7.26531669E-02   38.5615005       0.00000000       5.11361836E-41   9.94150185E-26
   248.000000       28.9081860       7.68453106E-02   39.2926865       0.00000000       7.97619086E-41   1.33902248E-25
   249.000000       29.2716885       8.12438801E-02   40.0327187       0.00000000       1.23971474E-40   1.79925441E-25
   250.000000       29.6395283       8.58571753E-02   40.7816277       0.00000000       1.92007317E-40   2.41200582E-25
   251.000000       30.0117722       9.06937569E-02   41.5394440       0.00000000       2.96350803E-40   3.22594856E-25
   252.000000       30.3884907       9.57624391E-02   42.3062019       0.00000000       4.55836785E-40   4.30468873E-25
   253.000000       30.7697525      0.101072297       43.0819321       0.00000000       6.98778499E-40   5.73116766E-25
   254.000000       31.1556263      0.106632672       43.8666611       0.00000000       1.06761847E-39   7.61330103E-25
   255.000000       31.5461826      0.112453178       44.6604195       0.00000000       1.62575985E-39   1.00912024E-24
   256.000000       31.9414959      0.118543707       45.4632378       0.00000000       2.46761233E-39   1.33463975E-24
   257.000000       32.3416367      0.124914408       46.2751465       0.00000000       3.73330854E-39   1.76135719E-24
   258.000000       32.7466774      0.131575748       47.0961685       0.00000000       5.63020283E-39   2.31955122E-24
   259.000000       33.1566925      0.138538465       47.9263306       0.00000000       8.46414681E-39   3.04820626E-24
   260.000000       33.5717545      0.145813584       48.7656631       0.00000000       1.26849026E-38   3.99741419E-24
   261.000000       33.9919434      0.153412446       49.6141891       0.00000000       1.89518457E-38   5.23140919E-24
   262.000000       34.4173279      0.161346674       50.4719391       0.00000000       2.82287428E-38   6.83240003E-24
   263.000000       34.8479881      0.169628203       51.3389282       0.00000000       4.19201070E-38   8.90539002E-24
   264.000000       35.2840042      0.178269312       52.2151909       0.00000000       6.20667264E-38   1.15842410E-23
   265.000000       35.7254486      0.187282532       53.1007462       0.00000000       9.16253350E-38   1.50392797E-23
   266.000000       36.1724014      0.196680784       53.9956207       0.00000000       1.34867399E-37   1.94868144E-23
   267.000000       36.6249428      0.206477270       54.8998337       0.00000000       1.97946233E-37   2.52010436E-23
   268.000000       37.0831528      0.216685519       55.8134041       0.00000000       2.89701261E-37   3.25289035E-23
   269.000000       37.5471077      0.227319419       56.7363625       0.00000000       4.22795289E-37   4.19085574E-23
   270.000000       38.0168953      0.238393188       57.6687241       0.00000000       6.15318631E-37   5.38923959E-23
   271.000000       38.4925919      0.249921381       58.6105118       0.00000000       8.93045493E-37   6.91755536E-23
   272.000000       38.9742813      0.261918902       59.5617409       0.00000000       1.29259905E-36   8.86312742E-23
   273.000000       39.4620438      0.274401009       60.5224380       0.00000000       1.86588043E-36   1.13354617E-22
   274.000000       39.9559708      0.287383288       61.4926147       0.00000000       2.68624925E-36   1.44716419E-22
   275.000000       40.4561348      0.300881743       62.4722977       0.00000000       3.85712671E-36   1.84429861E-22
   276.000000       40.9626312      0.314912707       63.4614983       0.00000000       5.52394133E-36   2.34632300E-22
   277.000000       41.4755402      0.329492837       64.4602356       0.00000000       7.89067228E-36   2.97985833E-22
   278.000000       41.9949455      0.344639242       65.4685287       0.00000000       1.12427045E-35   3.77800760E-22
   279.000000       42.5209389      0.360369354       66.4863968       0.00000000       1.59783288E-35   4.78186529E-22
   280.000000       43.0536003      0.376701027       67.5138474       0.00000000       2.26520416E-35   6.04236505E-22
   281.000000       43.5930252      0.393652409       68.5509033       0.00000000       3.20339458E-35   7.62253498E-22
   282.000000       44.1392937      0.411242157       69.5975723       0.00000000       4.51909964E-35   9.60024587E-22
