   Temperature           BIR            BW1               BW2             BSW
   381.000000       148.521301       10.2857904       221.520294       2.07453869E-14
   382.000000       150.262665       10.5380125       223.535385       2.35396606E-14
   383.000000       152.021561       10.7950916       225.559708       2.66928898E-14
   384.000000       153.798080       11.0570917       227.593246       3.02489289E-14
   385.000000       155.592361       11.3240776       229.635986       3.42567060E-14
   386.000000       157.404495       11.5961151       231.687912       3.87707783E-14
   387.000000       159.234619       11.8732710       233.749008       4.38519494E-14
   388.000000       161.082840       12.1556101       235.819275       4.95679378E-14
   389.000000       162.949280       12.4432001       237.898651       5.59941294E-14
   390.000000       164.834061       12.7361088       239.987167       6.32143806E-14
   391.000000       166.737305       13.0344019       242.084778       7.13219292E-14
   392.000000       168.659103       13.3381481       244.191467       8.04203777E-14
   393.000000       170.599609       13.6474152       246.307236       9.06247801E-14
   394.000000       172.558929       13.9622726       248.432037       1.02062849E-13
   395.000000       174.537170       14.2827883       250.565887       1.14876221E-13
   396.000000       176.534470       14.6090317       252.708755       1.29221978E-13
   397.000000       178.550934       14.9410725       254.860611       1.45274146E-13
